Id,Score
413937,0
16525,4
221883,5
82207,4
8354,5
483228,4
350796,5
121313,5
494256,4
260366,5
48796,4
255690,5
503733,5
172961,4
556434,3
235026,4
465583,4
494936,4
32516,4
552401,4
66809,4
68811,4
434215,5
104046,4
548806,6
326287,3
555163,4
299994,4
193198,5
140391,4
470710,4
335190,2
293800,5
1044,3
112990,4
1025,5
302160,4
101147,4
284958,3
178406,6
330025,4
328435,4
396343,4
153197,2
148138,5
447057,5
133229,4
216690,4
147264,5
154974,4
142490,4
107617,4
62206,4
397186,4
6420,5
89400,4
480986,5
450493,5
381903,5
99711,5
261573,4
177441,4
319438,5
78997,4
447722,4
414032,4
6976,5
436187,5
360444,3
443142,4
501973,4
472217,5
165693,4
325568,4
229489,4
188811,4
86784,4
406307,4
262719,5
292261,4
188009,4
353919,4
73305,5
509866,3
504189,4
530550,5
188797,4
47593,5
156300,4
34230,4
97907,5
416834,4
488473,2
440276,5
195080,4
97840,4
332784,5
141005,5
16937,4
290347,4
312624,5
399177,4
118229,4
182953,2
530937,4
338747,4
452174,5
433204,5
137245,4
299000,4
238215,5
512474,5
196560,5
109364,4
476995,6
40813,5
430925,5
16463,4
434023,5
523827,4
167098,5
420037,4
194674,4
415911,4
548512,5
236147,4
270396,5
412881,5
423140,4
53289,4
161615,5
498135,5
478033,4
359659,4
54636,4
512772,4
283378,3
530454,4
14763,5
165849,4
490104,4
496150,4
251292,4
215690,4
15187,4
3124,4
365096,5
473307,4
115267,5
363556,5
268075,4
83450,5
286031,2
266006,3
146692,3
178875,4
80759,3
415788,5
17819,4
553674,3
275856,5
250109,4
187745,4
366503,5
261009,3
176116,5
141985,5
238621,4
188300,6
194643,4
350096,4
342734,5
305208,4
108404,4
165432,4
538612,5
484004,5
142708,4
149737,5
444973,3
455322,5
313371,5
182881,4
97934,4
440299,4
53883,4
124619,3
553456,4
484521,4
434171,4
249151,4
68936,4
325088,4
265028,5
92786,4
443424,5
543051,3
55105,4
14101,3
298970,6
421289,4
7432,5
184379,3
342608,4
65363,5
97117,4
413069,4
90142,4
140955,4
219045,4
262410,5
20498,3
389536,4
364483,5
375074,5
546221,4
217822,4
503929,4
381619,1
111271,4
442623,3
20885,5
141054,4
38364,5
9221,3
51741,2
462488,3
244688,4
534098,5
103061,3
254182,5
452444,3
180383,5
115814,3
156780,4
217159,5
40234,4
93105,4
126280,3
523029,4
49699,3
343576,4
518773,3
382162,5
126830,4
447288,4
48569,5
405635,4
445384,4
240001,5
442443,4
164461,3
57798,3
198793,5
88422,4
423938,4
142416,4
490441,4
111015,5
407168,4
139985,5
259720,5
343759,4
244393,4
265486,4
303098,4
173284,4
450187,4
509483,4
424475,4
442065,4
83469,6
463900,4
239367,4
56189,4
279807,3
419478,5
194929,5
444885,4
360284,4
71609,4
304980,5
161625,4
503232,4
39295,3
5787,5
326788,4
439606,5
485485,4
115480,4
165075,4
111482,4
136599,5
500121,3
299550,3
530733,4
354489,4
267083,4
340132,4
466774,4
94684,6
6105,5
239877,4
98876,4
474168,5
176329,4
514306,3
202863,4
307588,5
17188,2
453770,4
521308,3
285444,4
388633,5
75759,5
460502,5
236946,4
193180,5
49793,4
70851,5
415543,5
194683,3
140664,2
446047,6
166723,4
169494,5
448667,4
488782,4
338379,4
125185,3
294113,5
225541,4
17460,5
283935,3
498620,4
55978,4
183885,5
44694,4
310132,4
364742,3
132255,4
313881,5
198507,6
107907,5
384314,5
226080,4
312185,4
9666,1
155879,4
300494,4
164744,5
311537,4
357502,4
502383,4
180365,4
321020,4
118507,4
284865,5
166172,4
407515,4
85219,5
166809,3
295934,4
478788,4
395061,5
128807,4
497612,3
217174,4
343193,4
63887,5
342641,5
296148,4
463496,5
430320,3
206563,5
294506,4
247760,3
478798,5
510917,4
459513,5
534480,4
426688,5
557133,4
204392,4
124752,5
465481,4
462003,4
353297,4
85984,4
460831,5
230795,4
51796,4
306065,5
449675,4
285080,6
21658,3
170861,4
154678,5
285607,4
393501,4
139105,4
553324,5
479864,5
530817,4
435287,5
36164,4
154563,4
293990,4
479571,4
336619,4
20656,4
370643,4
326072,4
394189,4
111752,5
191725,4
363656,5
533127,4
29932,4
520380,4
123134,4
10218,4
442763,6
512519,3
91902,5
284477,4
456192,4
25879,4
294473,4
449832,3
206139,4
205319,5
93506,4
304561,4
36106,3
554316,5
250255,4
271681,4
534390,4
41471,5
401941,4
498683,5
204933,6
445356,4
524758,5
209366,4
394633,5
291135,4
66449,4
531972,4
521312,6
284805,5
486797,5
118063,4
230429,4
465015,4
